Name;Symbol;Exchange;Last;Bid;Ask;Extended Hours;Extended Hours (%);Open;Prev.;High;Low;Chg.;Chg. %;Vol.;Next Earnings Date;Time;Market Cap;Revenue;Average Vol. (3m);EPS;P/E Ratio;Beta;Dividend;Yield;5 Minutes;15 Minutes;30 Minutes;Hourly;5 Hours;Daily;Weekly;Monthly;Daily;1 Week;1 Month;YTD;1 Year;3 Years
Trésor US 20+ Ans (TLT);TLT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Trésor US 7-10 Ans (IEF);IEF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Taux US 10 Ans (^TNX);^TNX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Taux US 2 Ans (^IRX);^IRX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obligations d'entreprises (LQD);LQD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obligations High Yield (HYG);HYG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
