Name;Symbol;Exchange;Last;Bid;Ask;Extended Hours;Extended Hours (%);Open;Prev.;High;Low;Chg.;Chg. %;Vol.;Next Earnings Date;Time;Market Cap;Revenue;Average Vol. (3m);EPS;P/E Ratio;Beta;Dividend;Yield;5 Minutes;15 Minutes;30 Minutes;Hourly;5 Hours;Daily;Weekly;Monthly;Daily;1 Week;1 Month;YTD;1 Year;3 Years
EUR/USD - Euro US Dollar;EUR/USD - Euro US Dollar;FX;1.1548;1.1547;1.1549;--;--;1.1493;1.1493;1.1553;1.1490;+0.0055;+0.48%;-;--;16:25:13;-;;-;-;-;-;-;-;Strong Buy;Strong Buy;Strong Buy;Strong Buy;Buy;Strong Sell;Sell;Strong Buy;0.48%;-0.16%;-0.94%;11.54%;6.89%;15.26%
EUR/TRY - Euro Turkish Lira;EUR/TRY - Euro Turkish Lira;FX;48.7344;48.7020;48.7668;--;--;48.4165;48.4165;48.7519;48.4165;+0.3179;+0.66%;-;--;;-;;-;-;-;-;-;-;Strong Buy;Strong Buy;Strong Buy;Strong Buy;Strong Buy;Neutral;Strong Buy;Strong Buy;0.66%;0.41%;0.25%;33.21%;31.75%;163.66%
USD/TRY - US Dollar Turkish Lira;USD/TRY - US Dollar Turkish Lira;FX;42.1126;42.1042;42.1210;--;--;42.0735;42.0739;42.1373;41.9865;+0.0387;+0.09%;-;--;16:24:02;-;;-;-;-;-;-;-;Strong Buy;Strong Buy;Buy;Neutral;Strong Buy;Strong Buy;Strong Buy;Strong Buy;0.09%;0.35%;0.99%;19.18%;23.07%;128.34%
Renault SA;RENA.PA;EPA;34.11;-;-;--;--;34.50;34.45;34.61;34.02;-0.34;-0.99%;628,778;Feb 13, 2026;11:35:59;9,210,000,000;56,910,000,000;1,033,456;-42.9818;-0.79;1.38;2.2;6.39%;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Neutral;Sell;Strong Sell;Strong Sell;-0.99%;3.08%;-5.67%;-27.50%;-15.80%;7.74%
Karsan Otomotiv Sanayi ve Ticaret AS;KARSN.IS;IS;10.340;10.340;10.350;--;--;10.460;10.410;10.520;10.340;-0.070;-0.67%;9,391,950;--;10:09:59;9,340,000,000;11,960,000,000;21,636,852;0.0047;2.21K;0.56;-;-;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Sell;-0.67%;-4.26%;-2.54%;-14.62%;-30.70%;11.78%
EUR/RUB - Euro Russian Ruble;EUR/RUB - Euro Russian Ruble;FX;93.812;93.378;94.247;--;--;93.474;93.474;94.150;92.302;+0.338;+0.36%;-;--;;-;;-;-;-;-;-;-;Strong Sell;Neutral;Buy;Strong Buy;Strong Buy;Neutral;Strong Sell;Neutral;0.36%;1.46%;-1.95%;-20.16%;-11.39%;52.47%
EUR/AED - Euro UAE Dirham;EUR/AED - Euro UAE Dirham;FX;4.2409;4.2384;4.2434;--;--;4.2205;4.2205;4.2419;4.2202;+0.0204;+0.48%;-;--;;-;;-;-;-;-;-;-;Strong Buy;Strong Buy;Strong Buy;Strong Buy;Buy;Strong Sell;Sell;Strong Buy;0.48%;-0.16%;-0.94%;11.54%;6.88%;15.25%
Sociedad Quimica y Minera de Chile SA ADR B;SQM;NYSE;46.27;-;-;46.30;0.06%;48.52;47.59;49.06;46.16;-1.33;-2.78%;1,031,822;Nov 19, 2025;15:59:59;13,590,000,000;4,230,000,000;1,400,256;1.6717;26.7;1.11;-;-;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Sell;Strong Buy;Strong Buy;Strong Buy;-2.78%;-4.06%;6.64%;27.26%;22.80%;-52.80%
FMC Corporation;FMC;NYSE;12.97;-;-;13.01;0.31%;13.36;13.36;13.46;12.93;-0.39;-2.92%;6,574,086;Feb 10, 2026;15:59:59;1,630,000,000;3,610,000,000;3,458,871;-3.9802;-3.27;0.76;2.32;17.37%;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Strong Sell;-2.92%;-16.48%;-58.32%;-73.32%;-78.68%;-89.58%
Albemarle Corp;ALB;NYSE;91.26;-;-;92.10;0.92%;94.00;91.96;97.10;91.00;-0.70;-0.76%;3,713,835;Feb 18, 2026;15:59:59;10,780,000,000;4,990,000,000;3,829,851;-9.3249;-9.82;1.66;1.62;1.76%;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Sell;Buy;Neutral;-0.76%;-6.77%;0.81%;6.02%;-8.68%;-68.15%
Apple Inc;AAPL.O;NASDAQ;269.77;-;-;269.92;0.06%;267.89;270.14;273.40;267.89;-0.37;-0.14%;45,749,187;Jan 29, 2026;15:59:59;3.99T;416,160,000,000;52,884,981;7.46;36.40;1.09;1.04;0.38%;Strong Sell;Strong Sell;Strong Sell;Neutral;Strong Buy;Strong Buy;Strong Buy;Strong Buy;-0.14%;-0.60%;5.18%;7.73%;18.59%;94.19%
EUR/LBP - Euro Lebanese Pound;EUR/LBP - Euro Lebanese Pound;FX;103,162.70;103,122.70;103,202.70;--;--;103,000.00;103,000.00;103,162.70;103,000.00;+162.70;+0.16%;-;--;;-;;-;-;-;-;-;-;Neutral;Neutral;Neutral;Neutral;Sell;Strong Sell;Sell;Strong Buy;0.16%;-0.39%;-1.17%;11.34%;6.69%;6739.40%
Tesla Inc;TSLA.O;NASDAQ;446.06;-;-;451.82;1.33%;461.97;462.07;467.45;435.09;-16.01;-3.46%;100,692,525;Jan 28, 2026;15:59:59;1.49T;95,630,000,000;87,129,038;1.4491;309.32;2.09;-;-;Strong Sell;Sell;Strong Sell;Strong Sell;Sell;Buy;Strong Buy;Strong Buy;-3.46%;1.35%;2.99%;10.45%;50.23%;126.33%
Li Auto Inc;LI.O;NASDAQ;20.17;-;-;20.15;-0.10%;20.22;20.07;20.34;19.88;+0.10;+0.50%;2,875,834;Nov 14, 2025;15:59:59;20,350,000,000;143,320,000,000;5,214,089;7.6006;18.93;0.96;-;-;Neutral;Neutral;Neutral;Neutral;Strong Sell;Strong Sell;Strong Sell;Strong Sell;0.50%;-1.56%;-16.96%;-15.92%;-21.24%;11.07%
Societe Generale SA;SOGN.PA;EPA;55.80;-;-;--;--;54.80;54.64;56.30;54.36;+1.16;+2.12%;2,318,629;Feb 06, 2026;11:35:59;42,790,000,000;;2,128,635;6.2338;8.96;1.26;1.7;3.05%;Neutral;Buy;Strong Buy;Strong Buy;Strong Buy;Strong Buy;Strong Buy;Strong Buy;2.12%;5.28%;4.69%;105.45%;108.29%;136.54%
Leonardo SpA;LDOF.MI;BIT;49.630;-;-;--;--;50.860;50.500;51.180;48.780;-0.870;-1.72%;3,770,369;Mar 05, 2026;11:35:59;28,550,000,000;18,700,000,000;3,273,058;1.8166;27.38;0.97;0.52;1.03%;Strong Buy;Neutral;Sell;Strong Sell;Strong Sell;Strong Sell;Buy;Strong Buy;-1.72%;-1.76%;-9.57%;91.40%;103.82%;557.35%
Rheinmetall AG;RHMG;ETR;1,708.000;1,708.000;1,718.000;--;--;1,730.000;1,708.000;1,781.500;1,668.000;+1.000;+0.06%;311,512;Nov 06, 2025;11:38:35;78,360,000,000;10,670,000,000;231,065;18.5891;92.63;0.57;8.1;0.47%;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Neutral;Strong Buy;0.06%;0.18%;-9.37%;177.90%;215.25%;982.38%
Safran SA;SAF.PA;EPA;302.80;-;-;--;--;306.50;306.90;307.00;302.00;-4.10;-1.34%;429,488;Feb 13, 2026;11:35:59;126,410,000,000;29,380,000,000;437,618;10.4702;28.96;1.15;2.9;0.96%;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Neutral;Strong Buy;Strong Buy;-1.34%;-0.85%;1.37%;42.76%;35.72%;167.16%
BAE Systems PLC;BAES.L;LON;1,811.00;1,788.00;1,950.00;--;--;1,864.00;1,848.50;1,864.00;1,797.50;-37.50;-2.03%;5,739,152;Feb 19, 2026;11:35:59;54,110,000,000;27,410,000,000;5,055,598;0.6511;27.88;0.32;34.1;1.88%;Neutral;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Sell;Strong Buy;-2.03%;-2.66%;-9.11%;57.68%;31.04%;129.65%
Kongsberg Gruppen ASA;KOG.OL;OL;247.25;-;-;--;--;253.00;253.50;253.55;245.60;-6.25;-2.47%;925,61;Feb 06, 2026;10:25:59;217,480,000,000;54,530,000,000;1,037,400;8.0059;30.75;0.31;4.4;1.78%;Neutral;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Neutral;-2.47%;2.51%;-22.33%;-3.42%;9.99%;229.49%
SAAB AB ser. B;SAABb.ST;ST;511.7;-;-;--;--;514.0;514.8;519.1;500.8;-3.1;-0.60%;1,681,967;Feb 05, 2026;11:30:59;274,870,000,000;72,300,000,000;2,469,736;9.6074;53.00;0.09;2;0.39%;Strong Buy;Buy;Sell;Strong Sell;Strong Sell;Neutral;Neutral;Strong Buy;-0.60%;0.22%;-6.21%;118.96%;117.42%;417.91%
MTU Aero Engines NA O.N.;MTXGn;ETR;363.10;362.50;362.70;--;--;367.20;363.10;368.80;360.50;-5.20;-1.41%;98,549;Feb 25, 2026;11:35:26;19,480,000,000;8,450,000,000;109,219;16.2453;22.31;1.17;2.2;0.61%;Strong Buy;Buy;Strong Sell;Strong Sell;Strong Sell;Strong Sell;Neutral;Strong Buy;-1.41%;-4.30%;-7.11%;12.76%;14.47%;100.11%
