Name;Symbol;Exchange;Last;Bid;Ask;Extended Hours;Extended Hours (%);Open;Prev.;High;Low;Chg.;Chg. %;Vol.;Next Earnings Date;Time;Market Cap;Revenue;Average Vol. (3m);EPS;P/E Ratio;Beta;Dividend;Yield;5 Minutes;15 Minutes;30 Minutes;Hourly;5 Hours;Daily;Weekly;Monthly;Daily;1 Week;1 Month;YTD;1 Year;3 Years
Amundi Index Solutions - Amundi MSCI World Swap UCITS ETF EUR Acc;CW8.PA;EPA;607.36;-;-;--;--;607.83;604.55;608.30;607.24;+2.81;+0.47%;1,147;--;04:58:44;5,360,000,000;;6,756;-;-;-;-;-;Sell;Strong Buy;Strong Buy;Strong Buy;Strong Buy;0.46%;Strong Buy;Strong Buy;0.46%;-0.14%;3.15%;6.46%;7.53%;53.01%
Amundi PEA Nasdaq-100 UCITS ETF Acc;PUB.PA;EPA;88.42;-;-;--;--;88.65;88.11;88.74;88.38;+0.31;+0.35%;10,333;--;04:59:10;-;;39,194;-;-;-;-;-;Neutral;Strong Buy;Strong Buy;Strong Buy;Neutral;0.35%;Strong Buy;Strong Buy;0.35%;-1.17%;4.31%;7.71%;10.98%;97.37%
BNP Paribas Easy S&P 500 UCITS ETF USD C;ERF.PA;EPA;27.46;-;-;--;--;27.47;27.29;27.49;27.45;+0.17;+0.64%;520;--;04:50:50;-;;25,1;-;-;-;-;-;Strong Buy;Strong Buy;Strong Buy;Strong Buy;Neutral;0.64%;Strong Buy;Strong Buy;0.64%;0.34%;2.85%;15.80%;14.76%;78.28%
Amundi EURO STOXX 50 II UCITS ETF Acc;MRN.PA;EPA;63.39;-;-;--;--;63.25;63.02;63.49;63.25;+0.37;+0.59%;10,651;--;04:45:13;3,690,000,000;;87,453;-;-;-;-;-;Strong Buy;Strong Buy;Strong Buy;Strong Buy;Strong Buy;0.59%;Strong Buy;Strong Buy;0.59%;0.68%;3.27%;18.86%;23.47%;60.68%
